slug,page_title,section,page_type,phase,primary_query,schema,content_status,hcu_score,brief_path,notes
/,Online Umrah Taxi — Homepage,Homepage,homepage,P1,online umrah taxi,TransportationService|FAQPage,written,87,briefs/00-main-service-page.md,Main landing page. All CTAs link to /contact-us
/umrah-taxi-services,Umrah Taxi Services,Hub,hub,P1,umrah taxi services,Service|FAQPage,to_write,,briefs/00-main-service-page.md,Master services overview hub. Links to all 4 sub-hubs
/airport-transfers,Airport Transfers,Hub,hub,P1,umrah airport transfer,Service,to_write,,briefs/10-airport-transfers-hub.md,Links to all 8 airport route pages
/inter-city-transfers,Inter-City Transfers,Hub,hub,P1,umrah intercity taxi,Service,to_write,,briefs/11-intercity-transfers-hub.md,Links to all 10 intercity route pages
/ziyarah-tours,Ziyarah Tours,Hub,hub,P1,umrah ziyarah taxi tours,Service|FAQPage,to_write,,briefs/ziyarah-tours-hub.md,Links to all 8 ziyarah pages — new brief needed
/vehicle-fleet,Vehicle Fleet,Hub,hub,P1,umrah taxi vehicle fleet,Service,to_write,,briefs/06-fleet-capacity.md,Vehicle specs + capacity. Links to segment pages
/group-family-packages,Group & Family Packages,Hub,hub,P2,group umrah taxi package,Service|FAQPage,to_write,,briefs/group-family-packages.md,Coaster + Hiace pricing for 10+ persons — new brief needed
/jeddah-airport-to-makkah-taxi,Jeddah Airport to Makkah Taxi,Airport Transfers,route_airport,P1,jeddah airport to makkah taxi,Service|FAQPage|BreadcrumbList,written,91,briefs/01-jeddah-airport-to-makkah.md,90 km. SAR 240–650. Terminal column references included
/jeddah-airport-to-madinah-taxi,Jeddah Airport to Madinah Taxi,Airport Transfers,route_airport,P1,jeddah airport to madinah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/13-jeddah-airport-to-madinah.md,420 km. SAR 500–1200. Long transfer — set expectations clearly
/madinah-airport-to-makkah-taxi,Madinah Airport to Makkah Taxi,Airport Transfers,route_airport,P2,madinah airport to makkah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/14-madinah-airport-to-makkah.md,450 km. SAR 550–1300. Step-by-step pickup at MED
/madinah-airport-to-madinah-taxi,Madinah Airport to Madinah City Taxi,Airport Transfers,route_airport,P2,madinah airport to madinah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/madinah-airport-to-madinah-city.md,15 km short transfer. SAR 80–220 — new brief needed
/riyadh-airport-to-makkah-taxi,Riyadh Airport to Makkah Taxi,Airport Transfers,route_airport,P3,riyadh airport to makkah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/riyadh-airport-to-makkah.md,950 km. SAR 1200–2400. Overnight drive — new brief needed
/riyadh-airport-to-madinah-taxi,Riyadh Airport to Madinah Taxi,Airport Transfers,route_airport,P3,riyadh airport to madinah taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/riyadh-airport-to-madinah.md,900 km. SAR 1100–2300 — new brief needed
/jeddah-airport-to-taif-taxi,Jeddah Airport to Taif Taxi,Airport Transfers,route_airport,P3,jeddah airport to taif taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/jeddah-airport-to-taif.md,150 km. SAR 300–740 — new brief needed
/jeddah-airport-to-riyadh-taxi,Jeddah Airport to Riyadh Taxi,Airport Transfers,route_airport,P3,jeddah airport to riyadh taxi,Service|FAQPage|BreadcrumbList,to_write,,briefs/jeddah-airport-to-riyadh.md,950 km. SAR 1200–2400 — new brief needed
/makkah-to-madinah-taxi,Makkah to Madinah Taxi,Inter-City Transfers,route_intercity,P1,makkah to madinah taxi,Service|FAQPage|BreadcrumbList,written,89,briefs/02-makkah-to-madinah.md,430 km. SAR 500–1200. Prayer + Zamzam + Haram pickup included
